第10组第5题的得分为84, 备注信息：, 时间：2017-09-17 17:11:11
第7组第5题的得分为84, 备注信息：, 时间：2017-09-17 17:13:30
第9组第6题的得分为110, 备注信息：, 时间：2017-09-17 17:14:38
第2组第7题的得分为150, 备注信息：, 时间：2017-09-17 17:15:00
第3组第3题的得分为140, 备注信息：, 时间：2017-09-17 17:15:22
第11组第5题的得分为108, 备注信息：, 时间：2017-09-17 17:15:53
第7组第9题的得分为100, 备注信息：, 时间：2017-09-17 17:18:06
第8组第6题的得分为150, 备注信息：, 时间：2017-09-17 17:18:10
第11组第5题的得分为108, 备注信息：, 时间：2017-09-17 17:19:01
第3组第3题的得分为140, 备注信息：, 时间：2017-09-17 17:20:09
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:20:55
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:21:15
第1组第7题的得分为150, 备注信息：, 时间：2017-09-17 17:21:16
第5组第6题的得分为150, 备注信息：, 时间：2017-09-17 17:21:20
第4组第1题的得分为130, 备注信息：, 时间：2017-09-17 17:22:26
第4组第1题的得分为130, 备注信息：, 时间：2017-09-17 17:22:36
第4组第1题的得分为130, 备注信息：, 时间：2017-09-17 17:23:15
第5组第6题的得分为150, 备注信息：, 时间：2017-09-17 17:24:03
第4组第1题的得分为130, 备注信息：, 时间：2017-09-17 17:24:16
第3组第3题的得分为140, 备注信息：, 时间：2017-09-17 17:24:24
第4组第1题的得分为130, 备注信息：, 时间：2017-09-17 17:24:42
第5组第6题的得分为150, 备注信息：, 时间：2017-09-17 17:25:39
第10组第2题的得分为100, 备注信息：, 时间：2017-09-17 17:25:42
第5组第6题的得分为150, 备注信息：, 时间：2017-09-17 17:25:43
第3组第3题的得分为140, 备注信息：, 时间：2017-09-17 17:27:56
第4组第1题的得分为130, 备注信息：, 时间：2017-09-17 17:28:27
第2组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:28:49
第2组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:28:52
第2组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:29:10
第8组第8题的得分为70, 备注信息：, 时间：2017-09-17 17:29:34
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:29:36
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:31:33
第2组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:31:57
第9组第7题的得分为100, 备注信息：, 时间：2017-09-17 17:31:57
第2组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:32:34
第8组第8题的得分为70, 备注信息：, 时间：2017-09-17 17:32:35
第1组第6题的得分为130, 备注信息：, 时间：2017-09-17 17:32:57
第10组第2题的得分为100, 备注信息：, 时间：2017-09-17 17:33:10
第2组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:34:31
第2组第1题的得分为120, 备注信息：, 时间：2017-09-17 17:34:40
第3组第5题的得分为106, 备注信息：, 时间：2017-09-17 17:35:14
第8组第8题的得分为70, 备注信息：, 时间：2017-09-17 17:37:09
第5组第9题的得分为100, 备注信息：, 时间：2017-09-17 17:37:35
第2组第3题的得分为110, 备注信息：, 时间：2017-09-17 17:37:58
第2组第3题的得分为110, 备注信息：, 时间：2017-09-17 17:38:00
